ID,Beskrivelse,Gate,Sted,Fylke,Kjede
200097,"PER STRAND NARVIK AS, BYGGMAKKER PER STRAND NARVIK",POSTBOKS 652,8508 NARVIK,Nordland,BYGGMAKKER
200230,"BYGGMARKED TREDAL AS, BYGGMAKKER TREDAL",INDUSTRIV. 1,6600 SUNNDALSØRA,Møre og Romsdal,BYGGMAKKER
200270,"REIDAR FLOKKMANN'S EFTF. AS, BYGGMAKKER FLOKKMANN",ØRBRADDEN 5,8663 MOSJØEN,Nordland,BYGGMAKKER
200428,"PER STRAND SORTLAND AS, BYGGMAKKER PER STRAND SORTLAND",VESTERÅLSVEIEN 134,8400 SORTLAND,Nordland,BYGGMAKKER
205962,"KIRKENES TRELAST AS, BYGGMAKKER KIRKENES",JOH. KNUDTSENSGT. 25,9917 KIRKENES,Finnmark,BYGGMAKKER
201316,"BIRKENES BYGGSENTER AS, BYGGTORGET",TOLLENESVEIEN 27,4760 BIRKELAND,Aust-Agder,BYGGTORGET
206375,"LENA JERNVARE AS, BYGGTORGET",LENAGATA 62 x,2850 LENA,Oppland,BYGGTORGET
200051,"GAUSDAL LANDHANDLERI AS, AVD., Avd. 701, VINSTRA",LOMOVEGEN 6,2640 VINSTRA,Oppland,GAUSDAL
200314,"GAUSDAL LANDHANDLERI AS AVD. D, Avd. 801, DOMBÅS",JORAMO,2660 DOMBÅS,Oppland,GAUSDAL
200417,"GAUSDAL LANDHANDLERI AS, AVD., Avd. 301, GJØVIK",SOMMERROVEIEN 10,2816 GJØVIK,Oppland,GAUSDAL
200447,"GAUSDAL LANDHANDLERI AS, AVD., Avd. 601, ØSTRE GAUSDAL",BJØRNDALSVOLLEN 2,2651 ØSTRE GAUSDAL,Oppland,GAUSDAL
201018,"GAUSDAL LANDHANDLERI AS, HOVED",GAUSDALSVEIEN 20,2626 LILLEHAMMER,Oppland,GAUSDAL
201995,"GAUSDAL LANDHANDLERI AS, AVD., Avd. 251, ELVERUM",TOROLF STORSVEENVEG 19,2411 ELVERUM,Hedmark,GAUSDAL
